,Name,Year,release_speed,release_spin_rate,release_extension,release_pos_x,release_pos_y,release_pos_z,spin_axis
0,Cory Abbott,22,88.51775147928994,2229.0975029726515,6.158343195266273,-2.5426508875739646,54.340662721893494,5.671467455621302,181.0463733650416
1,Albert Abreu,22,94.3977690288714,2185.514435695538,6.556167979002625,-1.9071784776902887,53.9438188976378,5.712729658792651,213.6811023622047
2,Bryan Abreu,22,91.95625498007969,2602.2633679169994,6.433067729083666,-2.0593545816733068,54.06717131474104,5.7669880478087645,123.63846767757383
3,Domingo Acevedo,22,89.36985074626865,2064.339303482587,5.780597014925373,-2.0002885572139304,54.7189552238806,5.47007960199005,243.5950248756219
4,Aldry Acosta,22,,,,,,,
5,Melvi Acosta,22,,,,,,,
6,Jason Adam,22,88.47179226069247,2471.661914460285,6.545315682281059,-1.659623217922607,53.95551934826884,5.935560081466395,164.74745417515274
7,Jose Adames,22,93.38333333333333,2227.6666666666665,6.783333333333334,-1.8483333333333334,53.72,5.33,201.0
8,Austin Adams,22,87.54791666666667,2713.2083333333335,5.910416666666666,-3.2760416666666665,54.590624999999996,5.145416666666667,107.60416666666667
9,Mike Adams,22,91.09615384615384,2088.3076923076924,5.75,-0.8553846153846154,54.74923076923077,5.818076923076924,212.15384615384616
10,Joan Adon,22,90.71549079754601,2182.318040435459,6.311692307692308,-2.6129754601226995,54.18847392638037,6.0295782208588955,175.73950233281494
11,Ehire Adrianza,22,60.699999999999996,1495.5833333333333,4.708333333333333,-1.3333333333333333,55.78333333333333,7.128333333333334,207.25
12,Miguel Aguilar,22,87.32692307692308,2309.576923076923,6.0307692307692315,1.1319230769230768,54.46384615384615,5.349615384615385,183.26923076923077
13,Keegan Akin,22,89.24637568199533,2177.2462977396726,5.8621200311769295,2.286250974279034,54.6375058456742,5.9622135619641465,166.27747466874513
14,R.J. Alaniz,22,,,,,,,
15,Hanser Alberto,22,64.73421052631579,1493.3815789473683,4.761842105263158,-1.53375,55.73776315789473,5.92125,217.2171052631579
16,Jorge Alcala,22,90.00116279069768,2332.313953488372,5.611627906976745,-2.7267441860465116,54.887674418604654,6.6506976744186055,200.01162790697674
17,Sandy Alcantara,22,94.41612708018154,2217.4138872043663,5.901091239769627,-2.1122269288956126,54.59798789712557,6.049736762481089,219.8004851425106
18,Jason Alexander,22,88.10215517241379,2132.257981018119,6.244310344827586,-2.309146551724138,54.25631034482758,5.409568965517241,210.1578947368421
19,Scott Alexander,22,90.23785046728973,2103.8271028037384,6.124766355140187,1.834018691588785,54.37677570093457,5.73696261682243,153.64953271028037
