,key_mlbam,name_first,name_last,at_bats,babip_P,hold_P,swing_P,Correct_P,Precision_P,ops_P,Decision,Decision_P,Total_Score
0,669701,Josh,Smith,70,133.56332045334648,99.10252115248512,113.12053743507163,107.13030628329409,92.06608533674907,207.8940989702518,411.4194502075999,102.09792771219128,272.8266374239904
1,641857,Ryan,McMahon,78,153.42658349512618,105.27277263047397,106.27024217673618,96.62644348556874,102.66693621407188,182.0754269118505,410.83639450685075,101.95323650044321,269.70424170393153
2,680757,Steven,Kwan,114,137.78110952029425,112.6253921852014,98.87832322756002,102.72928107005865,116.18500074739804,180.99964890941715,430.4179972302181,106.81261069466372,266.20298990951943
3,666149,Tyler,Fitzgerald,20,168.28978377121655,109.56122821196091,134.47451958948162,120.27596056473561,104.75342475631417,127.5469294135083,469.0651331224923,116.40329116594825,264.32164775831063
4,657136,Connor,Wong,56,140.2414864760138,84.63028856458207,115.70047951692413,100.52089329905553,92.63908311782887,190.06190925600274,393.4907444983906,97.64873675014914,262.8004346161574
5,595777,Jurickson,Profar,89,138.66573943695747,100.58995016531031,95.04158119544849,98.13847349785006,100.25392645233818,191.08506768223018,394.02393131094703,97.78105248927623,262.65645604887004
6,663616,Trevor,Larnach,27,152.36112110974338,98.75093613677473,125.5241051362856,105.24531555690182,82.87454490214728,167.5524238789998,412.39490173210936,102.33999594495438,262.296768439326
7,664761,Alec,Bohm,97,146.50657006428932,105.8188122219215,93.15808965241192,99.16454096521187,115.84188680083633,172.13617362849857,413.98332964038167,102.73418051175835,262.05555235815234
8,663527,Tyler,Nevin,64,128.55469593634598,95.92227914590283,123.55009053192218,106.76705286206226,101.17900960227375,178.7662402304522,427.41843214216107,106.06823806139633,259.7287061447954
9,669257,Will,Smith,88,127.4922604327398,99.35979130562961,91.16622260392285,97.85008040373364,113.42866956984462,190.950595431926,401.8047638831307,99.71194535565535,258.9333732879882
10,650859,Luis,Rengifo,72,135.04735734727254,92.21942784612213,116.18760144846271,99.23129752507886,103.60606318129584,175.35181439664186,411.2443900009595,102.05448473856953,257.2540706105267
11,608701,Rob,Refsnyder,26,158.2211642293489,105.7927548931301,111.51142594950872,104.1373224960016,90.8484200332728,148.45736433580723,412.28992337191323,102.31394449545377,255.65320877803182
12,677800,Wilyer,Abreu,59,145.7877599524663,96.08398720270056,123.29146295006707,107.68482122477339,100.0756171107263,151.97809234377104,427.1358884882673,105.9981219754013,254.88104812351997
13,680776,Jarren,Duran,99,128.4366475470564,106.00157355563815,115.61962663116807,102.99835197362988,107.9669515935163,165.19915949867678,432.5865037539524,107.35074767917412,254.16865120204068
14,650489,Willi,Castro,67,139.5437676378247,97.5975414859158,96.1816416849902,93.62674202675268,103.19553196604599,173.6709112678397,390.6014571637047,96.93173066478381,253.539070117616
15,666163,Ben,Rortvedt,36,186.98864863468506,97.74071097805268,106.61299121787656,102.55202992257166,78.75939508631653,123.51568521417231,385.6651272048174,95.70673009893382,250.9588970233625
16,502054,Tommy,Pham,22,135.99174446158912,112.60971056557104,106.96836785526946,105.90404887526472,113.5179132123071,147.61385658389923,439.0000405084123,108.9423321596986,250.74513268244277
17,663656,Kyle,Tucker,94,103.44052903195345,115.94871942536412,100.11817681035073,102.89790201186275,111.14938963346815,182.0754269118505,430.1141878810458,106.737217309751,249.495195281653
18,677942,Blaze,Alexander,49,129.74722558325084,99.24464467647358,134.1763499229861,112.4284617852344,86.80516617464913,153.90349047312625,432.65462255934324,107.36765205466033,249.19301008284884
19,643565,Mike,Tauchman,59,126.77196517605766,107.57553981511457,97.60247389559149,102.29522844445862,111.79037621255988,162.59818307831975,419.2636183677246,104.04453794991963,248.72961207710833
20,572233,Christian,Walker,85,109.99332272628533,107.58128606477084,96.99023569394949,97.1414599010844,107.2650678981661,183.1512049142839,408.9780495579708,101.49206927035885,248.06433309064346
21,518692,Freddie,Freeman,93,128.68036035075102,111.70948758866601,107.33220584117174,98.63475780115114,125.45364441631716,146.84369733215718,443.13009564730606,109.96724741541965,247.72927625687373
22,645277,Ozzie,Albies,74,136.4511760307161,98.32518068410326,101.57500477012984,95.78621354221596,119.23628823019823,151.20793309202892,414.92268722664727,102.96729166605611,246.7968462274286
23,605141,Mookie,Betts,105,135.34416472605776,121.80808208015257,76.10157075645239,91.3905825509608,113.61346701130736,158.1393663577077,402.9137023988731,99.98713974512916,246.72890528701188
24,680777,Ryan,Jeffers,74,111.18243972873165,104.13585224995508,98.87832322756002,96.26026861489379,106.4176809233287,177.46090548035997,405.6921250157376,100.67663362138465,244.9983062259305
25,681807,David,Fry,36,155.82387386223755,112.7406520894845,100.47909309301242,109.61630854563754,114.0985162957563,115.91507976219731,436.9345700238907,108.42976461795028,244.29924143016774
26,663837,Matt,Vierling,66,118.9927764038905,108.52433501947125,97.2439707775177,104.83502528685375,113.16039899836056,159.1662453600305,423.76373008220327,105.16128651465033,244.24079739661084
27,668942,Josh,Rojas,55,122.39257001543022,112.4906728165588,102.4738986176531,106.21086891063487,102.91286769938289,150.608920340674,424.0883080442297,105.24183384241333,241.74257902046543
28,518595,Travis,d'Arnaud,54,103.88258257482504,95.6442435541756,103.85278432550436,99.49406696965659,103.20784088705628,179.24443216860476,402.19893573639285,99.80976311648371,241.3732704881986
29,666397,Edouard,Julien,60,87.26136936285303,125.48959500869448,96.56215503148779,105.14654153303744,119.33934465909208,171.81307096758468,446.5376362323118,110.81286332431439,240.35008348953323
30,687401,Joey,Ortiz,51,117.32621090803768,115.82943707823749,129.30242268219388,113.7706975486033,92.7688798813044,138.22331833897383,451.671437190339,112.08686833024437,239.86163295375013
31,673548,Seiya,Suzuki,41,136.8209624156232,118.64184818405602,91.38754116486606,96.26916924074816,109.48399337343133,136.28470237349032,415.7825519631016,103.18067585987698,239.73350825443373
32,607208,Trea,Turner,107,150.28994189329828,99.08661180278494,104.40997767385709,97.93504103509933,110.56035838531979,123.51568521417231,411.99198889706116,102.24000902045117,239.14282257418645
33,680700,Richie,Palacios,50,142.11137296236066,104.32958478869081,112.8457507044601,105.36650684989439,87.3542500319931,132.72411105021894,409.8960923750384,101.7198909475459,239.13763295383572
34,660644,Vidal,Bruján,38,108.25658605165978,82.49316006547646,141.49255007310776,109.65571052570424,87.08733426800644,159.85827251376975,420.7287549322949,104.40812651381108,238.46555579652585
35,676475,Alec,Burleson,55,115.59298279235075,87.99270406984154,113.32122437315869,108.39572601814294,112.04638470770314,151.97809234377104,421.7560391688463,104.6630575620889,238.44859513014978
36,621439,Byron,Buxton,61,134.8770580315761,95.87884264213866,118.56099885436271,100.00098440210967,98.62483154524195,136.0859173078233,413.06565744385296,102.50645080783356,237.98793847753325
37,593934,Miguel,Sanó,35,160.27598454401576,98.99179207857173,123.90158438834303,109.52145192695836,80.40067789014289,109.36261374737578,412.815506284016,102.44437324922211,237.26367239491788
38,665742,Juan,Soto,103,112.55627393544148,116.59647763444438,76.08628675897829,94.4271422297636,115.81717650075083,161.9045893662245,402.9270831239371,99.99046030836367,237.22089195919665
39,664774,LaMonte,Wade,45,166.21213211972002,122.7980373577412,82.06567904240252,95.9193115693705,124.16113636248976,95.6994181331366,424.94416433200394,105.45422329886006,236.40999842528836
40,677951,Bobby,Witt,101,137.0015841481851,94.2035455637302,97.75015686022313,94.43753406493194,113.74672230923288,135.79358632890117,400.1379587981182,99.29831069401247,235.69589593255557
41,545121,Ildemaro,Vargas,47,135.26838411870835,110.71450429840259,89.1403065460579,98.93045637120152,103.98953764678134,135.79358632890117,402.7748048624433,99.95267090651045,235.48365613031518
42,672761,Wenceel,Pérez,36,114.27084083230754,96.38674491860934,135.83284807018345,107.49659096361455,77.82161148481248,149.05371953280832,417.5377954372198,103.61625740870117,235.27853759125912
43,514888,José,Altuve,104,125.85774427334573,103.18192084380229,93.0763720299098,93.25859493307557,110.13106189218682,146.33025783099575,399.6479496989745,99.1767099443215,235.27071099649226
44,656555,Rhys,Hoskins,78,86.30245321600849,114.85039095322797,135.83284807018345,115.32819894333312,91.65520400104798,155.18097685101588,457.66664196779254,113.57463946911341,234.3163545026256
45,592885,Christian,Yelich,31,96.51027026306325,108.50451684287891,98.36171756806388,94.24953631961357,116.44755202846397,164.0561453710913,417.56332275902037,103.62259227365362,233.9058000907309
46,643376,Danny,Jansen,24,77.91193693111877,124.43883467504075,105.79289128543135,111.43356802119916,112.35420444591111,164.0561453710913,454.01949842758245,112.66956364604171,233.65360479714673
47,696285,Jacob,Young,61,134.8770580315761,98.341599683967,122.24956326316511,105.44838806861708,93.48248664962213,124.00680125876147,419.5220376653713,104.10866733115635,233.55059697632515
48,669304,José,Miranda,45,124.65909908979003,90.32097817387933,93.11978451686404,98.64550349870001,99.84331310587407,152.49153184493244,381.92957929531747,94.77971583104467,233.3550312984059
49,573262,Mike,Yastrzemski,42,106.85065636267717,112.65194976683344,95.11764488588102,96.73852055340618,104.86392414951702,156.25675485344928,409.37203935563764,101.58984185223663,233.14354746029989
50,660162,Yoán,Moncada,29,141.8534575849335,105.7927548931301,104.42150195395354,103.1316915748651,106.75748193303882,115.91507976219731,420.10343035498755,104.25294584975066,233.13721452331606
51,642715,Willy,Adames,89,109.25179470790587,103.05735756030869,92.66256789894165,97.49649427475853,105.53819595702024,158.408310858316,398.75461569102913,98.95502000982758,232.78507279293854
52,647351,Abraham,Toro,71,110.61300341770102,105.62863555126162,121.77202590666838,109.39274719111023,85.7053158740858,144.7257593898664,422.498724523126,104.84736249851298,232.5167439022967
53,687263,Zach,Neto,72,119.46496996104878,86.07981919875803,109.74676702034141,98.22460845045302,90.4601789220195,152.49153184493244,384.51137359157195,95.4204143864818,231.39866528947243
54,641933,Tyler,O'Neill,55,101.99380834619186,117.38157163467005,91.90863904748826,101.0892565064909,114.91936893097756,148.56260348821922,425.29883611962674,105.54223871601155,230.8204446332171
55,668709,JJ,Bleday,81,101.57408073982891,100.913962798544,88.7961354783125,98.11644836773776,101.67016984306146,166.16523645480942,389.4967164876557,96.65757801199344,230.52723660931258
56,596146,Max,Kepler,40,102.8437567490768,100.37629266708323,106.0694740077462,97.76322517363425,107.92427690909199,152.49153184493244,412.13326875755564,102.27506905705535,229.94271335405995
